rouge1: 0.2862983655322524, rouge2: 0.04801270592127608, rougeL: 0.1335306642774041
rouge1: 0.30184023949570454, rouge2: 0.04733090620190083, rougeL: 0.14316622749876468
rouge1: 0.3059233417554705, rouge2: 0.05090970634593192, rougeL: 0.14783623862352205
rouge1: 0.29759478513343146, rouge2: 0.05012031806322932, rougeL: 0.14311464266728918
rouge1: 0.29467068392115386, rouge2: 0.048517911880622835, rougeL: 0.14071675619955634
rouge1: 0.29161168676783683, rouge2: 0.04705461770656274, rougeL: 0.1410225550629564
rouge1: 0.2917905594532398, rouge2: 0.04594804954916627, rougeL: 0.14085649777282527
rouge1: 0.2934320306327199, rouge2: 0.04640831591547286, rougeL: 0.1415025678717042
rouge1: 0.2938451651915319, rouge2: 0.046903992287523115, rougeL: 0.14198032604131836
rouge1: 0.29178671591477834, rouge2: 0.04754380430978604, rougeL: 0.14148952789178346
rouge1: 0.2925875435986371, rouge2: 0.04726601440989693, rougeL: 0.1423146046623907
rouge1: 0.2901094541589536, rouge2: 0.04594061183709317, rougeL: 0.14211366090672534
rouge1: 0.28897920289764106, rouge2: 0.045452530266206964, rougeL: 0.14173173043756968
rouge1: 0.28948310134192096, rouge2: 0.045354360423641875, rougeL: 0.14220746107086735
rouge1: 0.2884471818227089, rouge2: 0.04551321253105769, rougeL: 0.1418029141457942
rouge1: 0.2848643815642177, rouge2: 0.045140463625564634, rougeL: 0.1407923062216553
rouge1: 0.28548475068985446, rouge2: 0.04595431687912863, rougeL: 0.14106971028239892
rouge1: 0.28400137131703784, rouge2: 0.04538628535850822, rougeL: 0.1407489600380248
rouge1: 0.2834580830722273, rouge2: 0.04550948834289701, rougeL: 0.14062534422346462
rouge1: 0.28421678545408574, rouge2: 0.04590992311445394, rougeL: 0.14104644882668227
rouge1: 0.2856670212005132, rouge2: 0.046896635282766615, rougeL: 0.1418139169630501
rouge1: 0.2865418624140849, rouge2: 0.04675306491713174, rougeL: 0.14203308464040515
rouge1: 0.286666724636012, rouge2: 0.04695019625798013, rougeL: 0.1418909777661445
rouge1: 0.2886627239576351, rouge2: 0.047434057117657774, rougeL: 0.14281003863204117
rouge1_avg: 0.047821455673030665, rouge2_avg: 0.007884950546403249, rougeL_avg: 0.023672792522818648
