rouge1: 0.2089465410652111, rouge2: 0.052671733930993586, rougeL: 0.1456207125744605
rouge1: 0.20825849311964295, rouge2: 0.05225528453375813, rougeL: 0.1452631126895125
rouge1: 0.2084639582919726, rouge2: 0.05219250351184778, rougeL: 0.14533421415192033
rouge1: 0.20846704797515067, rouge2: 0.0524252273545017, rougeL: 0.14563421678438654
rouge1: 0.2086280169862139, rouge2: 0.052538916734197576, rougeL: 0.1457519707132927
rouge1: 0.20915235483412692, rouge2: 0.05309084825541511, rougeL: 0.14608030139335684
rouge1: 0.2092784529760465, rouge2: 0.053637281800112645, rougeL: 0.14634700799307848
rouge1: 0.20941506742926508, rouge2: 0.053976154648163216, rougeL: 0.14654479113527247
rouge1: 0.20910886171227253, rouge2: 0.05423441342263659, rougeL: 0.14651686411019196
rouge1: 0.20885131337308688, rouge2: 0.05396227289036608, rougeL: 0.14643874504509224
rouge1: 0.20893106107922685, rouge2: 0.053864400073640524, rougeL: 0.14637075227838192
rouge1: 0.20871564584541585, rouge2: 0.053655253717739944, rougeL: 0.146296733502055
rouge1: 0.20891067083911982, rouge2: 0.05378633527081123, rougeL: 0.1464095935632308
rouge1: 0.2089177855265975, rouge2: 0.05383091696114522, rougeL: 0.14636834127844356
rouge1: 0.20877101916210886, rouge2: 0.05383010900065443, rougeL: 0.14626696686276003
rouge1: 0.2087108200548957, rouge2: 0.053951778126595906, rougeL: 0.14624458016389666
rouge1: 0.2086030226810769, rouge2: 0.053918036373622004, rougeL: 0.14616368496172158
rouge1: 0.20845600728601052, rouge2: 0.053928808657052234, rougeL: 0.14618765245920837
rouge1: 0.2081737211098286, rouge2: 0.053691028874871156, rougeL: 0.14603293476498624
rouge1: 0.20831222845482836, rouge2: 0.05374716668926276, rougeL: 0.14601988540209124
rouge1: 0.20835097795778057, rouge2: 0.05395769990824656, rougeL: 0.1462502518121806
rouge1: 0.2081123695640087, rouge2: 0.05385595816625669, rougeL: 0.14621557638428354
rouge1: 0.20794989601677055, rouge2: 0.053632542016366795, rougeL: 0.14614004661059118
rouge1: 0.2082597980611124, rouge2: 0.05388578345504583, rougeL: 0.1464657904369685
rouge1: 0.20818302361887894, rouge2: 0.053747160470836414, rougeL: 0.14631796386562526
rouge1: 0.20840311620823349, rouge2: 0.05394860943581732, rougeL: 0.14646694838828156
rouge1: 0.20848460282478976, rouge2: 0.054085525396220704, rougeL: 0.14657057852577965
rouge1: 0.20817632559158442, rouge2: 0.053734801389066354, rougeL: 0.1463079044090024
rouge1: 0.20784582254587267, rouge2: 0.05353329086370308, rougeL: 0.14613297154004437
rouge1: 0.20758403712486986, rouge2: 0.05339997444287234, rougeL: 0.145949757481017
rouge1: 0.20789352315940776, rouge2: 0.05362847244108304, rougeL: 0.14615706149719135
rouge1: 0.20857082905092933, rouge2: 0.0540220507864034, rougeL: 0.14662287809841948
rouge1: 0.20855845103191986, rouge2: 0.05395780670430111, rougeL: 0.1467355956915235
rouge1: 0.208819411253158, rouge2: 0.05418786000651904, rougeL: 0.14707095445480015
rouge1: 0.20883341517183038, rouge2: 0.054131540585534293, rougeL: 0.14703958338521386
rouge1: 0.2087906612098887, rouge2: 0.05408467735157469, rougeL: 0.1470280298574404
rouge1: 0.20854092520500372, rouge2: 0.05407729980968079, rougeL: 0.14691914013858154
rouge1: 0.2083080250489212, rouge2: 0.05387726819129942, rougeL: 0.14681713526404486
rouge1: 0.20801116331815053, rouge2: 0.053773753128769745, rougeL: 0.14664289472958647
rouge1: 0.20819606542120317, rouge2: 0.05383494980581881, rougeL: 0.14683055413281346
rouge1: 0.2085427121058188, rouge2: 0.05408367916201719, rougeL: 0.1471235324645317
rouge1: 0.20854384967757225, rouge2: 0.054100814790632855, rougeL: 0.14703873298759923
rouge1: 0.2085788920765672, rouge2: 0.05398290589052366, rougeL: 0.14695707118228832
rouge1: 0.20896353794762604, rouge2: 0.05425334877466301, rougeL: 0.14726082792966919
rouge1: 0.2092297794486153, rouge2: 0.05447850568056094, rougeL: 0.1475056832529922
rouge1: 0.2096185765197631, rouge2: 0.05462764651837292, rougeL: 0.14784504791388317
rouge1: 0.20968774351710304, rouge2: 0.05459908726976713, rougeL: 0.1478068949030671
rouge1: 0.20956570052479404, rouge2: 0.05440824761144184, rougeL: 0.14774651838732913
rouge1: 0.20995931729547632, rouge2: 0.054649826690444506, rougeL: 0.1478656662203551
rouge1: 0.20993228034750347, rouge2: 0.05450547504164488, rougeL: 0.14768047397006695
rouge1: 0.21005123645447982, rouge2: 0.05461786034051293, rougeL: 0.14762674003844783
rouge1: 0.21002177915290496, rouge2: 0.05482648502899371, rougeL: 0.14773784681216684
