rouge1: 0.3049750244066238, rouge2: 0.04977948236309837, rougeL: 0.14185236816001462
rouge1: 0.28816766975220287, rouge2: 0.04055133648314314, rougeL: 0.1381594576593307
rouge1: 0.30535919891406504, rouge2: 0.0480802246706839, rougeL: 0.14803918230277016
rouge1: 0.2913896654267956, rouge2: 0.047638617955089856, rougeL: 0.1419422694810551
rouge1: 0.28768117312902336, rouge2: 0.04589342066571638, rougeL: 0.14004714066671792
rouge1: 0.2886056287845455, rouge2: 0.04549854673890469, rougeL: 0.14153411292513468
rouge1: 0.2879660077559752, rouge2: 0.045399912468847184, rougeL: 0.14174776293250074
rouge1: 0.2869501883280355, rouge2: 0.045407031322958286, rougeL: 0.1413826285997764
rouge1: 0.2876918837077115, rouge2: 0.04623732956889468, rougeL: 0.14223176133454613
rouge1: 0.2858643544053771, rouge2: 0.04692244650510772, rougeL: 0.14177961960835275
rouge1: 0.2854236417055561, rouge2: 0.0465062590166054, rougeL: 0.14247210037235433
rouge1: 0.2845163667277875, rouge2: 0.04569981130620012, rougeL: 0.14243969904092915
rouge1: 0.28352976666195395, rouge2: 0.04520448809013234, rougeL: 0.14193827680628304
rouge1: 0.28423945730264766, rouge2: 0.04524693062689753, rougeL: 0.14251866304867467
rouge1: 0.28292877270444006, rouge2: 0.045069033126514786, rougeL: 0.1421744288722106
rouge1: 0.280460501276008, rouge2: 0.044741501170010176, rougeL: 0.14170098597789632
rouge1: 0.279708251707717, rouge2: 0.04546312047115962, rougeL: 0.14153260398271045
rouge1: 0.2793330256894323, rouge2: 0.044959826055686984, rougeL: 0.14140269659324228
rouge1: 0.27878584308918103, rouge2: 0.04509749988642467, rougeL: 0.141154826921102
rouge1: 0.27897723033608085, rouge2: 0.045197064856482456, rougeL: 0.1413379014589094
rouge1: 0.2805129408437791, rouge2: 0.04603622068395013, rougeL: 0.14183281469338455
rouge1: 0.28142749182645216, rouge2: 0.04609729938804328, rougeL: 0.14220901040068679
rouge1: 0.2807358598888514, rouge2: 0.0462045897839255, rougeL: 0.14191490781109628
rouge1: 0.2825316002491416, rouge2: 0.046697313901449405, rougeL: 0.1430745170905973
rouge1_avg: 0.04682017091602311, rouge2_avg: 0.007781689901222942, rougeL_avg: 0.02370687324180193
