rouge1: 0.2608873798242799, rouge2: 0.044397026516172465, rougeL: 0.13462411884291473
rouge1: 0.27840652668409954, rouge2: 0.03723326272057776, rougeL: 0.1362601454744959
rouge1: 0.29785199663139666, rouge2: 0.04608833215823364, rougeL: 0.1457673482373135
rouge1: 0.2844779886860683, rouge2: 0.04742142456947487, rougeL: 0.1410997332819569
rouge1: 0.2804021573946171, rouge2: 0.0460651058303542, rougeL: 0.1393851703328858
rouge1: 0.2832911141826217, rouge2: 0.04628303713703808, rougeL: 0.14242708878684682
rouge1: 0.28258689282067023, rouge2: 0.04552394906840371, rougeL: 0.14219705626643794
rouge1: 0.2789202679041275, rouge2: 0.04574193401996519, rougeL: 0.14125013407986
rouge1: 0.2784228433245538, rouge2: 0.046274688860091104, rougeL: 0.14170719652796782
rouge1: 0.27452217481673186, rouge2: 0.04682343578604881, rougeL: 0.14066604512305003
rouge1: 0.2753719732996414, rouge2: 0.04636596353692294, rougeL: 0.1416093431775327
rouge1: 0.27709151601342896, rouge2: 0.04584334606499794, rougeL: 0.14261834403497892
rouge1: 0.276337185946767, rouge2: 0.04550595483435188, rougeL: 0.1422373417365506
rouge1: 0.2763056177273141, rouge2: 0.045148160029083596, rougeL: 0.1422845250608541
rouge1: 0.2749480344725446, rouge2: 0.04500061630758499, rougeL: 0.14190679859452213
rouge1: 0.27411862391404673, rouge2: 0.044711413582514424, rougeL: 0.14220822089305638
rouge1: 0.27230842288854035, rouge2: 0.04542576513597769, rougeL: 0.14161174322149694
rouge1: 0.27212981469806485, rouge2: 0.04492281022285234, rougeL: 0.14164959128776855
rouge1: 0.270729995615251, rouge2: 0.045005642998955604, rougeL: 0.14117314037136675
rouge1: 0.2706736360402369, rouge2: 0.0452309663319919, rougeL: 0.14125486387911493
rouge1: 0.27195042528334273, rouge2: 0.04594674396446814, rougeL: 0.14179995374995383
rouge1: 0.2724937772055439, rouge2: 0.045830958943763704, rougeL: 0.14208506344237437
rouge1: 0.2714094989984804, rouge2: 0.04586839128328693, rougeL: 0.14169499465634858
rouge1: 0.2738700112891293, rouge2: 0.04650695717663458, rougeL: 0.14292693992209754
rouge1_avg: 0.04528365251599217, rouge2_avg: 0.007731684137788001, rougeL_avg: 0.023654812073973984
