rouge1: 0.2167833387577501, rouge2: 0.03533012802783879, rougeL: 0.11066616903690735
rouge1: 0.24826345489332413, rouge2: 0.03577764662095422, rougeL: 0.1280683062627017
rouge1: 0.2698545065408441, rouge2: 0.045791859972675764, rougeL: 0.1403698961524068
rouge1: 0.25412027645163027, rouge2: 0.046489898134950254, rougeL: 0.13452650198245308
rouge1: 0.24849219315410462, rouge2: 0.04444247008741071, rougeL: 0.13201697677034677
rouge1: 0.2552149408105499, rouge2: 0.04437299131950879, rougeL: 0.13650193064022223
rouge1: 0.25254172215061027, rouge2: 0.042894032394195494, rougeL: 0.13519472553324197
rouge1: 0.24632379857971567, rouge2: 0.041699662326525416, rougeL: 0.13310165152671063
rouge1: 0.2467173911895823, rouge2: 0.04179836664387689, rougeL: 0.13387951165068243
rouge1: 0.2426872741887055, rouge2: 0.04199165713388947, rougeL: 0.1325202062552474
rouge1: 0.2454437575313435, rouge2: 0.04218557999765518, rougeL: 0.13442611330721627
rouge1: 0.25009091536576034, rouge2: 0.04205577543601406, rougeL: 0.13703231718416822
rouge1: 0.24975231400114287, rouge2: 0.04190865965291198, rougeL: 0.1370111233002451
rouge1: 0.250511842829243, rouge2: 0.0419960300037993, rougeL: 0.1376045690468065
rouge1: 0.24965707306729948, rouge2: 0.041888716559836524, rougeL: 0.13761672919814713
rouge1: 0.25057607569610935, rouge2: 0.04181846744226674, rougeL: 0.1385405569086902
rouge1: 0.2477463988367736, rouge2: 0.042195985453368744, rougeL: 0.13740198002406245
rouge1: 0.24813345220404137, rouge2: 0.0417295283025964, rougeL: 0.1375699842945282
rouge1: 0.2454796872202043, rouge2: 0.04149659027992337, rougeL: 0.13641011281341195
rouge1: 0.2441930517279375, rouge2: 0.041551503917562245, rougeL: 0.13597570688811414
rouge1: 0.24487808939669783, rouge2: 0.04212671377970523, rougeL: 0.1362181392387732
rouge1: 0.24557599254405071, rouge2: 0.04191040752519639, rougeL: 0.13649018354290224
rouge1: 0.24374792963964184, rouge2: 0.04178788426212426, rougeL: 0.13560588379529262
rouge1: 0.2450048110435432, rouge2: 0.0419077381707196, rougeL: 0.13638148074543371
rouge1_avg: 0.040421878660157444, rouge2_avg: 0.006946603723798162, rougeL_avg: 0.022521854336792428
